epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,97.7915,0.75635,1.91658,1.15937,0.88176,0.78704,0.90745,0.71517,0.63458,1.45859,1.14772,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
41,101.065,0.77146,2.76213,1.14758,0.86001,0.8227,0.90687,0.7115,0.63123,1.47872,1.14335,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
42,103.332,0.84623,2.75456,1.26398,0.84196,0.7965,0.88864,0.70448,0.63727,1.55593,1.14797,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
43,105.9,0.73776,2.60923,1.21183,0.8509,0.78536,0.883,0.69755,0.64696,1.69843,1.1522,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
44,108.176,0.77396,2.67764,1.18562,0.8678,0.73662,0.88161,0.70193,0.64786,1.71082,1.1525,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
45,110.372,0.7174,2.55085,1.18403,0.85081,0.75331,0.8799,0.70109,0.64553,1.71846,1.15214,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
46,112.561,0.71751,2.5431,1.20142,0.87002,0.74537,0.87983,0.7042,0.65068,1.72116,1.15575,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
47,115.033,0.73675,2.57995,1.20157,0.86822,0.76124,0.88675,0.70958,0.65042,1.70562,1.15507,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
48,117.204,0.70889,2.61775,1.15731,0.85752,0.76555,0.8908,0.71505,0.64889,1.69972,1.15456,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
49,119.383,0.70335,2.48825,1.13478,0.84729,0.75468,0.89091,0.70851,0.6475,1.66791,1.15547,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
50,121.561,0.65574,4.67004,1.11145,0.84445,0.78613,0.88823,0.70786,0.65063,1.67098,1.15862,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
